last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95per-swing,ev95percent,barrels,brl_percent,brl_pa
Cruz, Nelson,443558,327,13.1,38.2,117,93.7,99.2,89,478,198,411,168,17.2,51.4,65,19.9,12.5
Trout, Mike,545361,354,22.2,44.1,116.6,90.9,95,84.2,486,234,419,155,16.8,43.8,66,18.6,11.0
Yelich, Christian,592885,374,11.3,33.4,117.9,93.3,96.8,91,462,185,407,183,17.7,48.9,59,15.8,10.2
Soler, Jorge,624585,418,15.5,35.2,115.7,92.6,97.2,88.8,465,200,414,208,17.2,49.8,69,16.5,10.2
Alonso, Pete,624413,417,14.8,37.4,118.3,90.7,96.6,85.9,489,191,414,176,13.7,42.2,66,15.8,9.5
Donaldson, Josh,518626,396,13.3,33.3,114.2,92.9,98.1,89,443,186,406,200,16.6,50.5,62,15.7,9.4
Springer, George,543807,370,10.5,31.6,114.3,89.8,95.4,85.7,474,177,408,160,15.8,43.2,52,14.1,9.4
Reyes, Franmil,614177,345,9.5,33.3,115,93.3,98.2,88.6,457,182,408,176,16.1,51.0,51,14.8,9.3
Acuña Jr., Ronald,660670,442,14.2,40.3,115.9,90.6,95.6,84.8,466,192,416,210,15.2,47.5,66,14.9,9.2
Olson, Matt,621566,346,19.4,36.1,111.9,92.7,97.2,89,450,207,400,171,16.5,49.4,50,14.5,9.1
Schwarber, Kyle,656941,379,15.5,35.6,117.6,93.5,97.9,90,473,201,406,193,17.7,50.9,55,14.5,9.0
Abreu, José,547989,492,10.9,35.2,117.9,92.1,96,89.6,447,170,404,237,17.5,48.2,62,12.6,8.9
Bellinger, Cody,641355,455,17.8,39.8,110.6,91.2,95,86.4,442,209,405,207,17.3,45.5,58,12.7,8.8
Rendon, Anthony,543685,468,19.5,38.9,107.7,90.4,93.5,88.3,431,209,398,218,19.3,46.6,56,12.0,8.7
Harper, Bryce,547180,399,13.7,37.6,116.4,91.9,96.8,86.5,466,198,411,184,13.7,46.1,59,14.8,8.7
Báez, Javier,595879,377,7.7,36.3,114.1,91.1,96.1,86.7,460,174,404,163,14.8,43.2,48,12.7,8.6
Bell, Josh,605137,416,13,34.9,116.2,92.4,96.1,89.9,474,186,411,193,16.4,46.4,52,12.5,8.5
Meadows, Austin,640457,399,16.7,38.1,115.4,90.4,94.7,85.8,447,206,399,171,16.2,42.9,50,12.5,8.5
Freeman, Freddie,518692,472,14.4,40.0,112,89.7,93.8,85.1,446,194,404,201,14.1,42.6,58,12.3,8.4
Jiménez, Eloy,650391,336,9.3,32.4,114.1,91.2,96.6,87.4,471,169,409,161,17.3,47.9,42,12.5,8.3
Suárez, Eugenio,553993,392,17.7,38.5,112.3,89.3,93.1,86.1,457,196,400,157,13.0,40.1,54,13.8,8.2
Walker, Christian,572233,375,14.8,34.4,112.4,91.1,95.3,87.9,447,183,411,183,15.6,48.8,49,13.1,8.1
García, Avisaíl,541645,367,9.8,34.3,116.2,89.5,95.2,86.4,485,167,409,148,13.9,40.3,43,11.7,8.1
Odor, Rougned,596059,346,17.9,30.9,113.1,91.1,96.2,87.1,471,208,404,157,14.1,45.4,47,13.6,8.1
Martinez, J.D.,502110,443,12.5,40.6,112.6,91.3,95.1,87.5,434,192,402,208,17.1,47.0,52,11.7,7.9
Chapman, Matt,656305,439,16.6,25.1,114.4,92.7,97.1,91,453,186,408,211,17.9,48.1,53,12.1,7.9
Moncada, Yoán,660162,361,12.3,40.4,115.8,93.1,95.5,91.8,462,187,406,173,16.5,47.9,44,12.2,7.9
Ozuna, Marcell,542303,372,13.4,33.3,115.3,91.8,96.3,88.6,455,180,403,180,17.7,48.4,43,11.6,7.8
Castellanos, Nick,592206,475,14,39.8,111.2,89,93.9,83.3,436,198,394,197,14.8,41.5,52,10.9,7.8
Soto, Juan,665742,416,12.5,36.3,112.8,92,97,86.4,443,194,403,199,17.5,47.8,51,12.3,7.7
Moustakas, Mike,519058,427,17.4,32.3,112.9,89.5,93.8,87,459,195,402,173,15.6,40.5,44,10.3,7.5
Conforto, Michael,624424,405,15.9,35.8,112.2,89.2,93.7,83.4,452,196,402,159,13.5,39.3,48,11.9,7.4
Betts, Mookie,605141,505,19.3,39.2,109.3,91,94.2,88.1,438,208,391,237,21.3,46.9,52,10.3,7.4
